Account,date,avg_trade_size,trades_per_day,total_volume,win_rate,pnl_trades,Closed PnL,ls_ratio,account_max_size,leverage_proxy,fgi_value,fgi_classification,cum_pnl,cum_max,drawdown,segment,sentiment_group
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,2333.2533333333336,15,34998.8,0.0,0.0,0.0,34998800000000.0,214400.0,0.010882711442786,74,Greed,0.0,0.0,0.0,Low-Freq & Low-Leverage,Greed
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,2249.731112565445,3056,6875178.28,0.8191985088536813,1073.0,196303.792847,0.6931899400774068,214400.0,0.0104931488459208,44,Fear,196303.792847,196303.792847,0.0,Low-Freq & Low-Leverage,Fear
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,933.2848148148148,54,50397.380000000005,0.2857142857142857,7.0,11.717676000000012,8.054831291097766,606568.35,0.0015386309140838,74,Greed,11.717676000000012,11.717676000000012,0.0,Low-Freq & Low-Leverage,Greed
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,6453.556398446171,1802,11629308.63,0.8896952104499274,689.0,64510.169958,1.016607080708274,606568.35,0.010639454561792,44,Fear,64521.887634,64521.887634,0.0,Low-Freq & Low-Leverage,Fear
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,772.3728871391077,3810,2942740.7,0.7425149700598802,1670.0,-9125.157325,1.0188524193944848,49999.83,0.0154475102643167,50,Neutral,-9125.157325,-9125.157325,0.0,High-Freq & High-Leverage,Neutral
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,1376.8141407982262,1804,2483772.71,0.8890577507598785,658.0,39978.37791,0.9683150338436536,49999.83,0.0275363764396438,74,Greed,30853.220585000003,30853.220585000003,0.0,High-Freq & High-Leverage,Greed
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,658.3625776508391,5602,3688147.16,0.84,2050.0,46257.358187,0.9706925573561525,49999.83,0.013167296321824,44,Fear,77110.57877200001,77110.57877200001,0.0,High-Freq & High-Leverage,Fear
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,2936.1985911602205,724,2125807.78,1.0,55.0,8695.357326,9.436720409344916,400000.0,0.0073404964779005,74,Greed,8695.357326,8695.357326,0.0,Low-Freq & Low-Leverage,Greed
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,3430.149134615385,2080,7134710.2,0.9747899159663864,833.0,100502.420808,1.442774769459202,400000.0,0.0085753728365384,44,Fear,109197.778134,109197.778134,0.0,Low-Freq & Low-Leverage,Fear
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,1636.15022559962,4211,6889828.6,0.9729580573951436,1812.0,49180.714882,1.0149797319727771,414876.88,0.0039437006603009,74,Greed,49180.714882,49180.714882,0.0,High-Freq & Low-Leverage,Greed
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,1157.8793541082598,9274,10738173.13,0.9623865110246432,3084.0,40314.808014,0.9113141415639676,414876.88,0.0027908987218286,44,Fear,89495.52289600001,89495.52289600001,0.0,High-Freq & Low-Leverage,Fear
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,7877.326666666667,39,307215.74,0.0,6.0,-14505.50575,1.2756470317475663,97708.22,0.0806209208055021,50,Neutral,-14505.50575,-14505.50575,0.0,Low-Freq & High-Leverage,Neutral
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,1684.2025795053005,283,476629.33,0.9872611464968152,157.0,67900.247545,4.020826615695975,97708.22,0.0172370613189482,74,Greed,53394.74179500001,53394.74179500001,0.0,Low-Freq & High-Leverage,Greed
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,820.6771578947369,95,77964.33,0.9130434782608696,92.0,19451.742477,0.0,97708.22,0.0083992642368751,44,Fear,72846.484272,72846.484272,0.0,Low-Freq & High-Leverage,Fear
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,3387.3391578947367,190,643594.44,1.0,105.0,20925.513222,0.9370207592873936,42981.41,0.0788094005732864,74,Greed,20925.513222,20925.513222,0.0,Low-Freq & High-Leverage,Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,3072.9576923076925,182,559278.3,1.0,49.0,8751.751449,4.332508588312988,42981.41,0.0714950415146367,44,Fear,29677.264671,29677.264671,0.0,Low-Freq & High-Leverage,Fear
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,1862.93,9,16766.37,1.0,2.0,55.01524,1.1141657072890687,174720.0,0.010662374084249,74,Greed,55.01524,55.01524,0.0,Low-Freq & High-Leverage,Greed
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,8441.060742857142,525,4431556.89,0.7456140350877193,228.0,21703.816513,0.9607910581323652,174720.0,0.048311931907378,44,Fear,21758.831753,21758.831753,0.0,Low-Freq & High-Leverage,Fear
