Account,date,avg_trade_size,trades_per_day,total_volume,win_rate,pnl_trades,Closed PnL,ls_ratio,account_max_size,leverage_proxy,fgi_value,fgi_classification,cum_pnl,cum_max,drawdown
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,14810.891818181817,462,6842632.02,0.08633093525179857,139.0,-327505.900056,0.8280742692879293,1190250.0,0.012443513394817732,74,Greed,-327505.900056,-327505.900056,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,16345.241939809297,3356,54854631.95,0.8543628374136849,1593.0,1927735.720035,0.9657356982186064,1190250.0,0.0137326124258007,44,Fear,1600229.819979,1600229.819979,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,2492.74990625,320,797679.97,1.0,170.0,20607.446093000002,0.8657941086486866,177200.0,0.01406743739418728,74,Greed,20607.446093000002,20607.446093000002,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,1693.3516841211435,3533,5982611.5,0.7976128697457188,1927.0,17098.727055,0.9928831032002365,177200.0,0.009556160745604595,44,Fear,37706.173148,37706.173148,0.0
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,6070.2,5,30351.0,0.0,2.0,-1.0,1.0000658978582537,999998.56,0.00607020874110058,50,Neutral,-1.0,-1.0,0.0
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,31941.660000000003,5,159708.30000000002,1.0,4.0,1793.1602149999999,0.9777938849592941,999998.56,0.0319417059960566,74,Greed,1792.1602149999999,1792.1602149999999,0.0
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,10836.90096830986,1136,12310719.5,0.9106145251396648,537.0,29970.928216,0.9951422470785093,999998.56,0.010836916573469713,44,Fear,31763.088431,31763.088431,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,483.5901143386898,6472,3129795.22,0.829578278451762,3462.0,121880.386016,0.921813238041838,32349.42,0.01494895779703855,74,Greed,121880.386016,121880.386016,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,533.2378127759788,6794,3622817.7,0.896888346552776,3278.0,10435.095669,1.0189191663054797,32349.42,0.016483690056142038,44,Fear,132315.481685,132315.481685,0.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,2941.8256880733943,763,2244613.0,0.7903930131004366,458.0,52215.729448,0.954539159282219,185882.51,0.015826264063646324,74,Greed,52215.729448,52215.729448,0.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,3205.000631323351,2471,7919556.5600000005,0.8248905565978737,1599.0,116412.254606,0.9710321738819894,185882.51,0.017242077435490482,44,Fear,168627.984054,168627.984054,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,159.0,3,477.0,0.0,0.0,0.0,477000000000.0,163467.31,0.0009726715390373711,59,Greed,0.0,0.0,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,23066.935,2,46133.87,0.0,0.0,0.0,46133870000000.0,163467.31,0.14111038470015724,69,Greed,0.0,0.0,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,3048.5944444444444,27,82312.05,0.4090909090909091,22.0,-5564.01614,0.333529202201308,163467.31,0.018649566353324258,84,Extreme Greed,-5564.01614,0.0,-5564.01614
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,767.24775,80,61379.82,0.38095238095238093,21.0,215.754798,153.01942186050132,163467.31,0.004693585218965158,50,Neutral,-5348.261342,0.0,-5348.261342
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,2583.170064102564,156,402974.52999999997,0.9605263157894737,76.0,36993.371011,2.970493623654179,163467.31,0.015802364791483683,74,Greed,31645.109669000005,31645.109669000005,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,1648.5575358166188,349,575346.58,0.36220472440944884,254.0,-59349.677108,0.18060353812988336,163467.31,0.010084937078958533,44,Fear,-27704.567439,31645.109669000005,-59349.677108
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,4554.800138888889,144,655891.22,0.987012987012987,77.0,34983.381862,0.8987279250021643,844654.19,0.005392502864265533,74,Greed,34983.381862,34983.381862,0.0
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,4800.430827285922,3445,16537484.2,0.650887573964497,1690.0,-20526.462526,1.0025449340119612,844654.19,0.0056833090797618795,44,Fear,14456.919336000003,34983.381862,-20526.462526
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,2786.4265445026176,191,532207.47,1.0,79.0,7612.618288,1.957725788656053,63734.69,0.043719151132649646,74,Greed,7612.618288,7612.618288,0.0
